Locus	ProteinID	uniprot_id	Gene	CDS
b3236	NP_417703.1	P61889	mdh	lcl|NC_000913.3_cds_NP_417703.1_3181
b3237	NP_417704.1	P0A6D0	argR	lcl|NC_000913.3_cds_NP_417704.1_3182
b3238	NP_417705.2	P64614	yhcN	lcl|NC_000913.3_cds_NP_417705.2_3183
b3239	NP_417706.1	P64616	yhcO	lcl|NC_000913.3_cds_NP_417706.1_3184
b3240	NP_417707.1	P46481	aaeB	lcl|NC_000913.3_cds_NP_417707.1_3185
b3241	NP_417708.1	P46482	aaeA	lcl|NC_000913.3_cds_NP_417708.1_3186
b3242	NP_417709.2	P46478	aaeX	lcl|NC_000913.3_cds_NP_417709.2_3187
b3243	NP_417710.1	P67662	aaeR	lcl|NC_000913.3_cds_NP_417710.1_3188
b3244	NP_417711.1	P0AGG8	tldD	lcl|NC_000913.3_cds_NP_417711.1_3189
b4472	YP_026208.1	P46474	yhdP	lcl|NC_000913.3_cds_YP_026208.1_3190
b3247	NP_417713.2	P0A9J0	rng	lcl|NC_000913.3_cds_NP_417713.2_3191
b3248	NP_417714.1	P25536	yhdE	lcl|NC_000913.3_cds_NP_417714.1_3192
b3249	NP_417715.1	P0ABH4	mreD	lcl|NC_000913.3_cds_NP_417715.1_3193
b3250	NP_417716.1	P16926	mreC	lcl|NC_000913.3_cds_NP_417716.1_3194
b3251	NP_417717.2	P0A9X4	mreB	lcl|NC_000913.3_cds_NP_417717.2_3195
b3252	NP_417718.1	P13518	csrD	lcl|NC_000913.3_cds_NP_417718.1_3196
b3253	NP_417719.1	P26646	yhdH	lcl|NC_000913.3_cds_NP_417719.1_3197
b3255	NP_417721.1	P0ABD8	accB	lcl|NC_000913.3_cds_NP_417721.1_3198
b3256	NP_417722.1	P24182	accC	lcl|NC_000913.3_cds_NP_417722.1_3199
b3257	NP_417723.1	P45566	yhdT	lcl|NC_000913.3_cds_NP_417723.1_3200
b3258	NP_417724.4	P16256	panF	lcl|NC_000913.3_cds_NP_417724.4_3201
b3259	NP_417725.1	P0A8T1	prmA	lcl|NC_000913.3_cds_NP_417725.1_3202
b3260	NP_417726.1	P0ABT5	dusB	lcl|NC_000913.3_cds_NP_417726.1_3203
b3261	NP_417727.1	P0A6R3	fis	lcl|NC_000913.3_cds_NP_417727.1_3204
b3262	NP_417728.4	P28638	yhdJ	lcl|NC_000913.3_cds_NP_417728.4_3205
b3263	NP_417729.1	P64619	yhdU	lcl|NC_000913.3_cds_NP_417729.1_3206
b3264	NP_417730.1	P0ACT2	envR	lcl|NC_000913.3_cds_NP_417730.1_3207
b3265	NP_417731.1	P24180	acrE	lcl|NC_000913.3_cds_NP_417731.1_3208
b3266	NP_417732.1	P24181	acrF	lcl|NC_000913.3_cds_NP_417732.1_3209
b3267	NP_417733.1	P64622	yhdV	lcl|NC_000913.3_cds_NP_417733.1_3210
b3269	YP_026209.1	P45767	yhdX	lcl|NC_000913.3_cds_YP_026209.1_3211
b3270	NP_417736.2	P45768	yhdY	lcl|NC_000913.3_cds_NP_417736.2_3212
b3271	NP_417737.1	P45769	yhdZ	lcl|NC_000913.3_cds_NP_417737.1_3213
b3279	NP_417738.4	P0A9W9	yrdA	lcl|NC_000913.3_cds_NP_417738.4_3214
b3280	NP_417739.1	P45795	yrdB	lcl|NC_000913.3_cds_NP_417739.1_3215
b3281	NP_417740.1	P15770	aroE	lcl|NC_000913.3_cds_NP_417740.1_3216
b3282	NP_417741.1	P45748	tsaC	lcl|NC_000913.3_cds_NP_417741.1_3217
b3283	YP_026210.1	P45771	yrdD	lcl|NC_000913.3_cds_YP_026210.1_3218
b3284	NP_417743.1	P0A828	smg	lcl|NC_000913.3_cds_NP_417743.1_3219
b4473	YP_026211.1	P30852	smf	lcl|NC_000913.3_cds_YP_026211.1_3220
b3287	NP_417745.1	P0A6K3	def	lcl|NC_000913.3_cds_NP_417745.1_3221
b3288	NP_417746.1	P23882	fmt	lcl|NC_000913.3_cds_NP_417746.1_3222
b3289	NP_417747.1	P36929	rsmB	lcl|NC_000913.3_cds_NP_417747.1_3223
b3290	NP_417748.1	P0AGI8	trkA	lcl|NC_000913.3_cds_NP_417748.1_3224
b3291	NP_417749.1	P0A742	mscL	lcl|NC_000913.3_cds_NP_417749.1_3225
b4550	YP_588467.1	P36675	arfA	lcl|NC_000913.3_cds_YP_588467.1_3226
b3292	NP_417751.1	P0ACS5	zntR	lcl|NC_000913.3_cds_NP_417751.1_3227
b3293	NP_417752.1	P36677	yhdN	lcl|NC_000913.3_cds_NP_417752.1_3228
b3294	NP_417753.1	P0AG44	rplQ	lcl|NC_000913.3_cds_NP_417753.1_3229
b3295	NP_417754.1	P0A7Z4	rpoA	lcl|NC_000913.3_cds_NP_417754.1_3230
b3296	NP_417755.1	P0A7V8	rpsD	lcl|NC_000913.3_cds_NP_417755.1_3231
b3297	NP_417756.1	P0A7R9	rpsK	lcl|NC_000913.3_cds_NP_417756.1_3232
b3298	NP_417757.1	P0A7S9	rpsM	lcl|NC_000913.3_cds_NP_417757.1_3233
b3299	NP_417758.1	P0A7Q6	rpmJ	lcl|NC_000913.3_cds_NP_417758.1_3234
b3300	NP_417759.1	P0AGA2	secY	lcl|NC_000913.3_cds_NP_417759.1_3235
b3301	NP_417760.1	P02413	rplO	lcl|NC_000913.3_cds_NP_417760.1_3236
b3302	NP_417761.1	P0AG51	rpmD	lcl|NC_000913.3_cds_NP_417761.1_3237
b3303	NP_417762.1	P0A7W1	rpsE	lcl|NC_000913.3_cds_NP_417762.1_3238
b3304	NP_417763.1	P0C018	rplR	lcl|NC_000913.3_cds_NP_417763.1_3239
b3305	NP_417764.1	P0AG55	rplF	lcl|NC_000913.3_cds_NP_417764.1_3240
b3306	NP_417765.1	P0A7W7	rpsH	lcl|NC_000913.3_cds_NP_417765.1_3241
b3307	NP_417766.1	P0AG59	rpsN	lcl|NC_000913.3_cds_NP_417766.1_3242
b3308	NP_417767.1	P62399	rplE	lcl|NC_000913.3_cds_NP_417767.1_3243
b3309	NP_417768.1	P60624	rplX	lcl|NC_000913.3_cds_NP_417768.1_3244
b3310	NP_417769.1	P0ADY3	rplN	lcl|NC_000913.3_cds_NP_417769.1_3245
b3311	NP_417770.1	P0AG63	rpsQ	lcl|NC_000913.3_cds_NP_417770.1_3246
b3312	NP_417771.1	P0A7M6	rpmC	lcl|NC_000913.3_cds_NP_417771.1_3247
b3313	NP_417772.1	P0ADY7	rplP	lcl|NC_000913.3_cds_NP_417772.1_3248
b3314	NP_417773.1	P0A7V3	rpsC	lcl|NC_000913.3_cds_NP_417773.1_3249
b3315	NP_417774.1	P61175	rplV	lcl|NC_000913.3_cds_NP_417774.1_3250
b3316	NP_417775.1	P0A7U3	rpsS	lcl|NC_000913.3_cds_NP_417775.1_3251
b3317	NP_417776.1	P60422	rplB	lcl|NC_000913.3_cds_NP_417776.1_3252
b3318	NP_417777.1	P0ADZ0	rplW	lcl|NC_000913.3_cds_NP_417777.1_3253
b3319	NP_417778.1	P60723	rplD	lcl|NC_000913.3_cds_NP_417778.1_3254
b3320	NP_417779.1	P60438	rplC	lcl|NC_000913.3_cds_NP_417779.1_3255
b3321	NP_417780.1	P0A7R5	rpsJ	lcl|NC_000913.3_cds_NP_417780.1_3256
b3322	NP_417781.1	P03825	gspB	lcl|NC_000913.3_cds_NP_417781.1_3257
b3323	NP_417782.1	P45756	gspA	lcl|NC_000913.3_cds_NP_417782.1_3258
b3324	NP_417783.1	P45757	gspC	lcl|NC_000913.3_cds_NP_417783.1_3259
b3325	NP_417784.4	P45758	gspD	lcl|NC_000913.3_cds_NP_417784.4_3260
b3326	NP_417785.1	P45759	gspE	lcl|NC_000913.3_cds_NP_417785.1_3261
b3327	NP_417786.1	P41441	gspF	lcl|NC_000913.3_cds_NP_417786.1_3262
b3328	NP_417787.1	P41442	gspG	lcl|NC_000913.3_cds_NP_417787.1_3263
b3329	NP_417788.1	P41443	gspH	lcl|NC_000913.3_cds_NP_417788.1_3264
b3330	NP_417789.4	P45760	gspI	lcl|NC_000913.3_cds_NP_417789.4_3265
b3331	NP_417790.1	P45761	gspJ	lcl|NC_000913.3_cds_NP_417790.1_3266
b3332	NP_417791.1	P45762	gspK	lcl|NC_000913.3_cds_NP_417791.1_3267
b3333	NP_417792.2	P45763	gspL	lcl|NC_000913.3_cds_NP_417792.2_3268
b3334	NP_417793.2	P36678	gspM	lcl|NC_000913.3_cds_NP_417793.2_3269
b3335	NP_417794.1	P25960	gspO	lcl|NC_000913.3_cds_NP_417794.1_3270
b3336	NP_417795.1	P0ABD3	bfr	lcl|NC_000913.3_cds_NP_417795.1_3271
b3337	NP_417796.1	P0AE56	bfd	lcl|NC_000913.3_cds_NP_417796.1_3272
b3338	NP_417797.1	P13656	chiA	lcl|NC_000913.3_cds_NP_417797.1_3273
b3339	NP_417798.1	P0CE47	tufA	lcl|NC_000913.3_cds_NP_417798.1_3274
b3340	NP_417799.1	P0A6M8	fusA	lcl|NC_000913.3_cds_NP_417799.1_3275
b3341	NP_417800.1	P02359	rpsG	lcl|NC_000913.3_cds_NP_417800.1_3276
b3342	NP_417801.1	P0A7S3	rpsL	lcl|NC_000913.3_cds_NP_417801.1_3277
b3343	NP_417802.1	P45530	tusB	lcl|NC_000913.3_cds_NP_417802.1_3278
b3344	NP_417803.1	P45531	tusC	lcl|NC_000913.3_cds_NP_417803.1_3279
b3345	NP_417804.1	P45532	tusD	lcl|NC_000913.3_cds_NP_417804.1_3280
b3346	NP_417805.4	P64624	yheO	lcl|NC_000913.3_cds_NP_417805.4_3281
b3347	NP_417806.1	P45523	fkpA	lcl|NC_000913.3_cds_NP_417806.1_3282
b3348	NP_417807.1	P0A8R4	slyX	lcl|NC_000913.3_cds_NP_417807.1_3283
b3349	NP_417808.1	P0A9K9	slyD	lcl|NC_000913.3_cds_NP_417808.1_3284
b4551	YP_588468.1	P0ADW8	yheV	lcl|NC_000913.3_cds_YP_588468.1_3285
b3350	NP_417809.1	P45522	kefB	lcl|NC_000913.3_cds_NP_417809.1_3286
b3351	NP_417810.1	P0A756	kefG	lcl|NC_000913.3_cds_NP_417810.1_3287
b3352	NP_417811.1	P63389	yheS	lcl|NC_000913.3_cds_NP_417811.1_3288
b3353	NP_417812.1	P45524	yheT	lcl|NC_000913.3_cds_NP_417812.1_3289
b3354	NP_417813.1	P67624	yheU	lcl|NC_000913.3_cds_NP_417813.1_3290
b3355	NP_417814.1	P0AEX5	prkB	lcl|NC_000913.3_cds_NP_417814.1_3291
b3356	NP_417815.1	P0ADX1	yhfA	lcl|NC_000913.3_cds_NP_417815.1_3292
b3357	NP_417816.1	P0ACJ8	crp	lcl|NC_000913.3_cds_NP_417816.1_3293
b3358	NP_417817.2	P45537	yhfK	lcl|NC_000913.3_cds_NP_417817.2_3294
b3359	NP_417818.1	P18335	argD	lcl|NC_000913.3_cds_NP_417818.1_3295
b4820	YP_010283917.1	P0DV19	yrfJ	lcl|NC_000913.3_cds_YP_010283917.1_3296
b3360	NP_417819.1	P00903	pabA	lcl|NC_000913.3_cds_NP_417819.1_3297
b3361	NP_417820.1	P20605	fic	lcl|NC_000913.3_cds_NP_417820.1_3298
b3362	NP_417821.1	P0ADX5	yhfG	lcl|NC_000913.3_cds_NP_417821.1_3299
b3363	NP_417822.1	P0AFL3	ppiA	lcl|NC_000913.3_cds_NP_417822.1_3300
b3364	NP_417823.1	P60778	tsgA	lcl|NC_000913.3_cds_NP_417823.1_3301
b3365	NP_417824.1	P08201	nirB	lcl|NC_000913.3_cds_NP_417824.1_3302
b3366	NP_417825.1	P0A9I8	nirD	lcl|NC_000913.3_cds_NP_417825.1_3303
b3367	YP_026212.2	P0AC26	nirC	lcl|NC_000913.3_cds_YP_026212.2_3304
b3368	NP_417827.1	P0AEA8	cysG	lcl|NC_000913.3_cds_NP_417827.1_3305
b3369	NP_417828.1	P64627	yhfL	lcl|NC_000913.3_cds_NP_417828.1_3306
b3370	NP_417829.2	P45539	frlA	lcl|NC_000913.3_cds_NP_417829.2_3307
b3371	NP_417830.4	P0AC00	frlB	lcl|NC_000913.3_cds_NP_417830.4_3308
b4474	YP_026213.1	P45541	frlC	lcl|NC_000913.3_cds_YP_026213.1_3309
b3374	NP_417833.1	P45543	frlD	lcl|NC_000913.3_cds_NP_417833.1_3310
b3375	NP_417834.6	P45544	frlR	lcl|NC_000913.3_cds_NP_417834.6_3311
b3376	NP_417835.1	P45545	yhfS	lcl|NC_000913.3_cds_NP_417835.1_3312
b3377	NP_417836.1	P45546	yhfT	lcl|NC_000913.3_cds_NP_417836.1_3313
b3378	NP_417837.2	P64631	yhfU	lcl|NC_000913.3_cds_NP_417837.2_3314
b3379	NP_417838.1	P45548	php	lcl|NC_000913.3_cds_NP_417838.1_3315
b3380	NP_417839.1	P45549	yhfW	lcl|NC_000913.3_cds_NP_417839.1_3316
b3381	NP_417840.1	P45550	yhfX	lcl|NC_000913.3_cds_NP_417840.1_3317
b3382	NP_417841.2	P45551	yhfY	lcl|NC_000913.3_cds_NP_417841.2_3318
b3383	YP_026214.1	P45552	yhfZ	lcl|NC_000913.3_cds_YP_026214.1_3319
b3384	NP_417843.1	P00954	trpS	lcl|NC_000913.3_cds_NP_417843.1_3320
b3385	NP_417844.1	P32662	gph	lcl|NC_000913.3_cds_NP_417844.1_3321
b3386	NP_417845.1	P0AG07	rpe	lcl|NC_000913.3_cds_NP_417845.1_3322
b3387	NP_417846.1	P0AEE8	dam	lcl|NC_000913.3_cds_NP_417846.1_3323
b3388	NP_417847.1	P11557	damX	lcl|NC_000913.3_cds_NP_417847.1_3324
b3389	NP_417848.1	P07639	aroB	lcl|NC_000913.3_cds_NP_417848.1_3325
b3390	YP_026215.2	P0A6D7	aroK	lcl|NC_000913.3_cds_YP_026215.2_3326
b3391	NP_417850.1	P34749	hofQ	lcl|NC_000913.3_cds_NP_417850.1_3327
b3392	NP_417851.4	P45750	hofP	lcl|NC_000913.3_cds_NP_417851.4_3328
b3393	NP_417852.1	P45751	hofO	lcl|NC_000913.3_cds_NP_417852.1_3329
b3394	NP_417853.1	P64634	hofN	lcl|NC_000913.3_cds_NP_417853.1_3330
b3395	NP_417854.4	P45753	hofM	lcl|NC_000913.3_cds_NP_417854.4_3331
b3396	NP_417855.4	P02918	mrcA	lcl|NC_000913.3_cds_NP_417855.4_3332
b3397	NP_417856.1	P45799	nudE	lcl|NC_000913.3_cds_NP_417856.1_3333
b3398	NP_417857.1	P45800	igaA	lcl|NC_000913.3_cds_NP_417857.1_3334
b3399	NP_417858.4	P64636	yrfG	lcl|NC_000913.3_cds_NP_417858.4_3335
b3400	NP_417859.1	P0ACG8	hslR	lcl|NC_000913.3_cds_NP_417859.1_3336
b3401	NP_417860.2	P0A6Y5	hslO	lcl|NC_000913.3_cds_NP_417860.2_3337
b3402	NP_417861.1	P45804	yhgE	lcl|NC_000913.3_cds_NP_417861.1_3338
b3403	NP_417862.1	P22259	pck	lcl|NC_000913.3_cds_NP_417862.1_3339
b3404	NP_417863.1	P0AEJ4	envZ	lcl|NC_000913.3_cds_NP_417863.1_3340
b3405	NP_417864.1	P0AA16	ompR	lcl|NC_000913.3_cds_NP_417864.1_3341
b3406	YP_026216.2	P30128	greB	lcl|NC_000913.3_cds_YP_026216.2_3342
b3407	NP_417866.4	P46837	yhgF	lcl|NC_000913.3_cds_NP_417866.4_3343
b3408	NP_417867.1	P0AEL3	feoA	lcl|NC_000913.3_cds_NP_417867.1_3344
b3409	NP_417868.1	P33650	feoB	lcl|NC_000913.3_cds_NP_417868.1_3345
b3410	NP_417869.1	P64638	feoC	lcl|NC_000913.3_cds_NP_417869.1_3346
b3411	NP_417870.1	P31667	rpnA	lcl|NC_000913.3_cds_NP_417870.1_3347
b3412	NP_417871.1	P13001	bioH	lcl|NC_000913.3_cds_NP_417871.1_3348
b3413	NP_417872.2	P46846	yhgH	lcl|NC_000913.3_cds_NP_417872.2_3349
b3414	NP_417873.1	P63020	nfuA	lcl|NC_000913.3_cds_NP_417873.1_3350
b3415	YP_026217.1	P39835	gntT	lcl|NC_000913.3_cds_YP_026217.1_3351
b3416	NP_417875.1	P15977	malQ	lcl|NC_000913.3_cds_NP_417875.1_3352
b3417	YP_026218.1	P00490	malP	lcl|NC_000913.3_cds_YP_026218.1_3353
b3418	NP_417877.1	P06993	malT	lcl|NC_000913.3_cds_NP_417877.1_3354
b4475	YP_026219.1	P46849	rtcA	lcl|NC_000913.3_cds_YP_026219.1_3355
b3421	NP_417879.1	P46850	rtcB	lcl|NC_000913.3_cds_NP_417879.1_3356
b3422	NP_417880.1	P38035	rtcR	lcl|NC_000913.3_cds_NP_417880.1_3357
b3424	YP_026220.1	P09391	glpG	lcl|NC_000913.3_cds_YP_026220.1_3358
b3425	NP_417883.1	P0A6V5	glpE	lcl|NC_000913.3_cds_NP_417883.1_3359
b3426	NP_417884.1	P13035	glpD	lcl|NC_000913.3_cds_NP_417884.1_3360
b3427	YP_009518819.1	P76692	yzgL	lcl|NC_000913.3_cds_YP_009518819.1_3361
b3428	NP_417886.1	P0AC86	glgP	lcl|NC_000913.3_cds_NP_417886.1_3362
b3429	NP_417887.1	P0A6U8	glgA	lcl|NC_000913.3_cds_NP_417887.1_3363
b3430	NP_417888.1	P0A6V1	glgC	lcl|NC_000913.3_cds_NP_417888.1_3364
b3431	NP_417889.1	P15067	glgX	lcl|NC_000913.3_cds_NP_417889.1_3365
b3432	NP_417890.1	P07762	glgB	lcl|NC_000913.3_cds_NP_417890.1_3366
b4788	YP_010051201.1	P0DSG6	yhgO	lcl|NC_000913.3_cds_YP_010051201.1_3367
b4789	YP_010051202.1	P0DSG7	yhgP	lcl|NC_000913.3_cds_YP_010051202.1_3368
b3433	NP_417891.1	P0A9Q9	asd	lcl|NC_000913.3_cds_NP_417891.1_3369
b3434	NP_417892.1	P67143	yhgN	lcl|NC_000913.3_cds_NP_417892.1_3370
b4476	YP_026221.1	P0AC96	gntU	lcl|NC_000913.3_cds_YP_026221.1_3371
b3437	NP_417894.2	P46859	gntK	lcl|NC_000913.3_cds_NP_417894.2_3372
b3438	YP_026222.1	P0ACP5	gntR	lcl|NC_000913.3_cds_YP_026222.1_3373
b3439	NP_417896.1	P46852	yhhW	lcl|NC_000913.3_cds_NP_417896.1_3374
b3440	NP_417897.1	P46853	yhhX	lcl|NC_000913.3_cds_NP_417897.1_3375
b3441	NP_417898.1	P46854	yhhY	lcl|NC_000913.3_cds_NP_417898.1_3376
b3442	NP_417899.1	P46855	yhhZ	lcl|NC_000913.3_cds_NP_417899.1_3377
b3443	NA	NA	yrhA	NA
b3444	NP_417901.1	P0CF12	insA6	lcl|NC_000913.3_cds_NP_417901.1_3379
b3445	NP_417902.1	P0CF29	insB6	lcl|NC_000913.3_cds_NP_417902.1_3380
b4612	YP_009518820.1	P58037	yrhD	lcl|NC_000913.3_cds_YP_009518820.1_3381
b3446	NP_417903.1	P46857	yrhB	lcl|NC_000913.3_cds_NP_417903.1_3382
b3447	NP_417904.1	P18956	ggt	lcl|NC_000913.3_cds_NP_417904.1_3383
b3448	NP_417905.1	P0ADX7	yhhA	lcl|NC_000913.3_cds_NP_417905.1_3384
b3449	NP_417906.1	P10908	ugpQ	lcl|NC_000913.3_cds_NP_417906.1_3385
b3450	NP_417907.2	P10907	ugpC	lcl|NC_000913.3_cds_NP_417907.2_3386
b3451	NP_417908.1	P10906	ugpE	lcl|NC_000913.3_cds_NP_417908.1_3387
b3452	NP_417909.1	P10905	ugpA	lcl|NC_000913.3_cds_NP_417909.1_3388
b3453	NP_417910.1	P0AG80	ugpB	lcl|NC_000913.3_cds_NP_417910.1_3389
b3454	NP_417911.4	P22731	livF	lcl|NC_000913.3_cds_NP_417911.4_3390
b3455	NP_417912.1	P0A9S7	livG	lcl|NC_000913.3_cds_NP_417912.1_3391
b3456	NP_417913.1	P22729	livM	lcl|NC_000913.3_cds_NP_417913.1_3392
b3457	NP_417914.1	P0AEX7	livH	lcl|NC_000913.3_cds_NP_417914.1_3393
b3458	NP_417915.1	P04816	livK	lcl|NC_000913.3_cds_NP_417915.1_3394
b3459	NP_417916.1	P37613	panZ	lcl|NC_000913.3_cds_NP_417916.1_3395
b3460	YP_026223.1	P0AD96	livJ	lcl|NC_000913.3_cds_YP_026223.1_3396
b3461	NP_417918.1	P0AGB3	rpoH	lcl|NC_000913.3_cds_NP_417918.1_3397
b3462	NP_417919.1	P0AC30	ftsX	lcl|NC_000913.3_cds_NP_417919.1_3398
b3463	NP_417920.1	P0A9R7	ftsE	lcl|NC_000913.3_cds_NP_417920.1_3399
b3464	NP_417921.1	P10121	ftsY	lcl|NC_000913.3_cds_NP_417921.1_3400
b3465	NP_417922.1	P0ADX9	rsmD	lcl|NC_000913.3_cds_NP_417922.1_3401
b3466	NP_417923.1	P37614	yhhL	lcl|NC_000913.3_cds_NP_417923.1_3402
b3467	NP_417924.1	P37615	yhhM	lcl|NC_000913.3_cds_NP_417924.1_3403
b3468	NP_417925.1	P0ADI9	yhhN	lcl|NC_000913.3_cds_NP_417925.1_3404
b3469	NP_417926.1	P37617	zntA	lcl|NC_000913.3_cds_NP_417926.1_3405
b3470	NP_417927.1	P0A890	tusA	lcl|NC_000913.3_cds_NP_417927.1_3406
b3471	NP_417928.1	P37619	yhhQ	lcl|NC_000913.3_cds_NP_417928.1_3407
b3472	NP_417929.4	P0AEE1	dcrB	lcl|NC_000913.3_cds_NP_417929.4_3408
b3473	NP_417930.2	P37621	yhhS	lcl|NC_000913.3_cds_NP_417930.2_3409
b3474	NP_417931.4	P0AGM0	yhhT	lcl|NC_000913.3_cds_NP_417931.4_3410
b3475	NP_417932.1	P37623	acpT	lcl|NC_000913.3_cds_NP_417932.1_3411
b3476	NP_417933.1	P33590	nikA	lcl|NC_000913.3_cds_NP_417933.1_3412
b3477	NP_417934.1	P33591	nikB	lcl|NC_000913.3_cds_NP_417934.1_3413
b3478	NP_417935.1	P0AFA9	nikC	lcl|NC_000913.3_cds_NP_417935.1_3414
b3479	NP_417936.1	P33593	nikD	lcl|NC_000913.3_cds_NP_417936.1_3415
b3480	NP_417937.1	P33594	nikE	lcl|NC_000913.3_cds_NP_417937.1_3416
b3481	NP_417938.1	P0A6Z6	nikR	lcl|NC_000913.3_cds_NP_417938.1_3417
b3482	YP_026224.1	P16917	rhsB	lcl|NC_000913.3_cds_YP_026224.1_3418
b3483	NP_417940.2	P28911	yhhH	lcl|NC_000913.3_cds_NP_417940.2_3419
b3484	NP_417941.1	P28912	yhhI	lcl|NC_000913.3_cds_NP_417941.1_3420
b3485	NP_417942.6	P0AGH1	yhhJ	lcl|NC_000913.3_cds_NP_417942.6_3421
b3486	YP_026225.1	P37624	rbbA	lcl|NC_000913.3_cds_YP_026225.1_3422
b3487	NP_417944.1	P37626	yhiI	lcl|NC_000913.3_cds_NP_417944.1_3423
b4790	YP_010051203.1	P0DSG8	yhiY	lcl|NC_000913.3_cds_YP_010051203.1_3424
b3488	NP_417945.1	P37627	yhiJ	lcl|NC_000913.3_cds_NP_417945.1_3425
b3491	NP_417948.4	P37630	yhiM	lcl|NC_000913.3_cds_NP_417948.4_3426
b3492	NP_417949.1	P37631	yhiN	lcl|NC_000913.3_cds_NP_417949.1_3427
b3493	NP_417950.1	P0AFJ7	pitA	lcl|NC_000913.3_cds_NP_417950.1_3428
b3494	NP_417951.1	P0A8S5	uspB	lcl|NC_000913.3_cds_NP_417951.1_3429
b3495	NP_417952.1	P0AED0	uspA	lcl|NC_000913.3_cds_NP_417952.1_3430
b4791	YP_010051204.1	P0DSG9	yriA	lcl|NC_000913.3_cds_YP_010051204.1_3431
b4792	YP_010051205.1	P0DSH0	yriB	lcl|NC_000913.3_cds_YP_010051205.1_3432
b3496	NP_417953.1	P36837	dtpB	lcl|NC_000913.3_cds_NP_417953.1_3433
b3497	NP_417954.1	P68567	rsmJ	lcl|NC_000913.3_cds_NP_417954.1_3434
b3498	NP_417955.1	P27298	prlC	lcl|NC_000913.3_cds_NP_417955.1_3435
b3499	NP_417956.1	P37634	rlmJ	lcl|NC_000913.3_cds_NP_417956.1_3436
b3500	NP_417957.1	P06715	gor	lcl|NC_000913.3_cds_NP_417957.1_3437
b4613	YP_001165328.2	A5A624	dinQ	lcl|NC_000913.3_cds_YP_001165328.2_3438
b3501	NP_417958.1	P37309	arsR	lcl|NC_000913.3_cds_NP_417958.1_3439
b3502	NP_417959.4	P0AB93	arsB	lcl|NC_000913.3_cds_NP_417959.4_3440
b3503	NP_417960.1	P0AB96	arsC	lcl|NC_000913.3_cds_NP_417960.1_3441
b3504	NA	NA	yhiS	NA
b3505	NP_417685.2	P0CE58	insH11	lcl|NC_000913.3_cds_NP_417685.2_3443
b3506	NP_417963.4	P37194	slp	lcl|NC_000913.3_cds_NP_417963.4_3444
b3507	NP_417964.1	P37195	dctR	lcl|NC_000913.3_cds_NP_417964.1_3445
b3508	NP_417965.1	P0AFV2	yhiD	lcl|NC_000913.3_cds_NP_417965.1_3446
b3509	NP_417966.4	P0AET2	hdeB	lcl|NC_000913.3_cds_NP_417966.4_3447
b3510	NP_417967.1	P0AES9	hdeA	lcl|NC_000913.3_cds_NP_417967.1_3448
b3511	NP_417968.1	P0AET5	hdeD	lcl|NC_000913.3_cds_NP_417968.1_3449
b3512	NP_417969.1	P63204	gadE	lcl|NC_000913.3_cds_NP_417969.1_3450
b3513	NP_417970.1	P37636	mdtE	lcl|NC_000913.3_cds_NP_417970.1_3451
b3514	NP_417971.1	P37637	mdtF	lcl|NC_000913.3_cds_NP_417971.1_3452
b3515	NP_417972.1	P63201	gadW	lcl|NC_000913.3_cds_NP_417972.1_3453
b3516	NP_417973.1	P37639	gadX	lcl|NC_000913.3_cds_NP_417973.1_3454
b3517	NP_417974.1	P69908	gadA	lcl|NC_000913.3_cds_NP_417974.1_3455
b3518	NP_417975.1	P37197	ccp	lcl|NC_000913.3_cds_NP_417975.1_3456
b3519	NP_417976.1	P62601	treF	lcl|NC_000913.3_cds_NP_417976.1_3457
b3520	NP_417977.1	P37640	yhjB	lcl|NC_000913.3_cds_NP_417977.1_3458
b3521	NP_417978.2	P37641	rcdB	lcl|NC_000913.3_cds_NP_417978.2_3459
b3522	NP_417979.1	P37642	yhjD	lcl|NC_000913.3_cds_NP_417979.1_3460
b3523	NP_417980.1	P37643	yhjE	lcl|NC_000913.3_cds_NP_417980.1_3461
b3524	NP_417981.2	P37645	yhjG	lcl|NC_000913.3_cds_NP_417981.2_3462
b3525	NP_417982.2	P37646	pdeH	lcl|NC_000913.3_cds_NP_417982.2_3463
b3526	NP_417983.2	P37647	kdgK	lcl|NC_000913.3_cds_NP_417983.2_3464
b3527	NP_417984.1	P37648	yhjJ	lcl|NC_000913.3_cds_NP_417984.1_3465
b3528	NP_417985.1	P0A830	dctA	lcl|NC_000913.3_cds_NP_417985.1_3466
b3529	NP_417986.4	P37649	pdeK	lcl|NC_000913.3_cds_NP_417986.4_3467
b3530	YP_026226.4	P37650	bcsC	lcl|NC_000913.3_cds_YP_026226.4_3468
b3531	NP_417988.1	P37651	bcsZ	lcl|NC_000913.3_cds_NP_417988.1_3469
b3532	NP_417989.1	P37652	bcsB	lcl|NC_000913.3_cds_NP_417989.1_3470
b3533	NP_417990.4	P37653	bcsA	lcl|NC_000913.3_cds_NP_417990.4_3471
b3535	NP_417992.1	P0ADJ3	yhjR	lcl|NC_000913.3_cds_NP_417992.1_3472
b3536	NP_417993.1	P37657	bcsE	lcl|NC_000913.3_cds_NP_417993.1_3473
b3537	NP_417994.2	P0ADJ5	bcsF	lcl|NC_000913.3_cds_NP_417994.2_3474
b3538	NP_417995.1	P37659	bcsG	lcl|NC_000913.3_cds_NP_417995.1_3475
